!CSV A.01.01
!Keysight Technologies,N5221A,MY51411169,A.10.49.11
!Date: Thursday, December 14, 2017 04:09:54
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
6464400000,-21.053818,-49.824627
6468600000,-21.042572,-50.086811
6472800000,-21.043354,-50.201096
6477000000,-21.037462,-50.425083
6481200000,-21.046185,-50.52787
6485400000,-21.043322,-50.852264
6489600000,-21.04093,-50.981697
6493800000,-21.036554,-51.156227
6498000000,-21.039398,-51.401314
6502200000,-21.033112,-51.582645
6506400000,-21.03187,-51.724743
6510600000,-21.015009,-51.982307
6514800000,-20.997314,-52.164551
6519000000,-20.997955,-52.383522
6523200000,-21.002394,-52.537895
6527400000,-20.98012,-52.742874
6531600000,-20.97057,-52.965023
6535800000,-20.996542,-53.07896
6540000000,-20.980629,-53.289295
END

